,0,1
0,7.1560973041,1
1,1.9671057463,-1
2,1.9887126833,-1
3,0.9598671198,-1
4,0.9978799224,1
5,4.0611203308,-1
6,3.7957857847,1
7,4.326754356,1
8,0.0070766644,-1
9,2.8990219161,-1
10,6.1906402172,1
11,3.0526277795,1
12,5.035740748,1
13,3.3832876766,1
14,2.556740995,-1
15,1.1411995441,-1
16,3.9191694893,1
17,2.3924338948,-1
18,1.9678489184,-1
19,4.8291499394,-1
20,0.4559669006,1
21,0.9137601443,1
22,0.3560375869,-1
23,0.9999963045,1
24,1.1732659349,1
25,1.2878329506,1
26,3.272094287,1
27,0.979116643,-1
28,2.9615591764,-1
29,4.1984344386,1
30,0.0469914228,1
31,0.0469914228,1
32,5.8598486409,-1
33,1.0355389304,1
34,2.1410192251,1
35,6.2128855167,1
36,5.5075414777,1
37,4.0266609997,-1
38,3.6488298774,-1
39,2.2361793593,-1
40,2.3832837949,-1
41,1.9878944317,-1
42,3.2633714615,-1
43,0.8609269708,1
44,1.6570942923,1
45,1.8978921175,1
46,3.4839291361,-1
47,4.9256625395,-1
48,5.5997220399,-1
49,5.3804124527,1
50,4.8199311495,-1
51,3.1778522083,-1
52,5.6074626541,-1
53,3.4062422663,-1
54,2.8161555906,1
55,1.7259078742,1
56,2.679624591,-1
57,1.6182600074,1
58,1.6277826428,1
59,1.7353692055,1
60,3.1632333547,-1
61,3.3210325893,-1
62,2.7565841177,-1
63,1.0945079043,-1
64,2.4524856051,-1
65,0.6315972805,1
66,1.6433055736,-1
67,0.5555667281,1
68,0.0032599743,-1
69,4.4872075617,-1
70,4.6796174203,-1
71,2.6926755611,1
72,2.9936571121,1
73,2.9936571121,-1
74,0.9729108368,1
75,1.9546716809,1
76,1.9546716809,1
77,1.2512012748,1
78,2.4244274041,-1
79,1.1694825888,1
80,0.9997622967,1
81,3.5251069516,-1
82,0.9799051285,1
83,1.4039845597,-1
84,2.1793549111,1
85,1.3462691456,-1
86,2.9622249603,-1
87,1.537055295,1
88,1.6562231556,-1
89,1.651052149,1
90,2.7583139539,-1
91,2.1350921141,-1
92,5.1969523118,1
93,0.9808405638,1
94,0.8232507948,-1
95,1.7147662044,1
96,1.8564763665,1
97,0.6040893793,1
98,0.8457899736,1
99,4.5611057039,1
100,4.4124891032,1
101,5.4591519595,-1
102,4.4124292657,-1
103,1.1886984354,-1
104,4.673871818,1
105,5.0680209068,-1
106,4.0511590764,1
107,5.2444720864,1
108,5.6605082192,-1
109,6.463537504,-1
110,2.6984918565,1
111,8.0293964767,-1
112,5.3396289331,-1
113,6.9845692685,-1
114,2.7904092073,1
115,3.6973074378,-1
116,1.3039976768,1
117,1.9645234346,1
118,6.3414010219,-1
119,11.6637513209,1
120,8.0187246921,1
121,4.2865337785,1
122,8.9095150512,-1
123,3.3098060116,1
124,2.3481015246,1
125,8.5079386436,1
126,3.4302627668,-1
127,7.1849070648,-1
128,2.5694714189,-1
129,1.7062478717,-1
130,6.4869356304,1
131,5.525657177,1
132,3.144518305,1
133,4.7187249243,1
134,5.0621390902,-1
135,10.9326423248,-1
136,3.8872154406,-1
137,3.5721502844,1
138,3.0549500585,-1
139,2.2288107898,1
140,4.7491873377,1
141,7.4279135168,1
142,21.6371879127,-1
143,9.6879694285,1
144,15.266579289,1
145,20.7228354043,1
146,13.6657389426,-1
147,27.5616041393,-1
148,11.167107398,-1
149,36.1879999453,1
150,14.9584336283,-1
151,26.4055130938,-1
152,22.2041887739,-1
153,13.7121661366,1
154,7.046259775,-1
155,31.2947129682,1
156,10.9325969149,-1
157,27.3143748901,1
158,7.8717597164,-1
159,17.403186081,-1
160,14.0258007169,1
161,10.298939086,1
162,8.8126970171,-1
163,10.8945347784,-1
164,15.1134585946,1
165,7.0662873536,1
166,6.0706807442,1
167,8.1365738523,-1
168,12.9770273417,-1
169,4.2208624791,1
170,5.3857522202,-1
171,3.535992736,-1
172,3.7147061527,1
173,3.0637628436,1
174,2.5196105356,1
175,8.1372124143,-1
176,11.5068634376,1
177,7.3694612458,1
178,7.4019613399,-1
179,4.0804706663,-1
180,7.2087610129,1
181,0.7631914588,-1
182,5.9776447378,-1
183,3.5057415697,1
184,2.8281213616,1
185,3.4045696259,-1
186,4.1818938553,1
187,3.7276366502,1
188,0.9730317593,1
189,1.2708612092,-1
190,1.6462483336,-1
191,2.7144215335,1
192,1.1850680225,-1
193,2.8623597436,1
194,9.2661170618,-1
195,6.0842901629,-1
196,5.2333002418,-1
197,4.5806012135,-1
198,4.7559029907,-1
199,0.0001215009,-1
200,5.6725331931,1
201,3.1404390484,1
202,2.7941738683,-1
203,1.3070471287,1
204,5.4571745497,1
205,3.2553994805,1
206,3.6115498319,-1
207,3.6247762293,1
208,0.9759596586,-1
209,0.5968532264,1
210,1.8898687122,1
211,3.1666728854,1
212,2.4260604032,1
213,1.7190983593,-1
214,1.3257903755,-1
215,2.3010360717,1
216,3.3416217119,-1
217,3.7792559564,1
218,1.6826632917,1
219,4.9093047602,1
220,2.8278814444,-1
221,9.106360286,1
222,4.0462549003,1
223,5.0595844062,-1
224,1.5430722455,1
225,4.104982472,-1
226,5.1833092184,-1
227,2.9485625029,-1
228,5.2162480254,-1
229,5.205235482,-1
230,2.3834065236,-1
231,10.5797745828,1
232,3.4499735681,1
233,6.1874966168,1
234,3.8971507996,-1
235,5.0867863558,-1
236,2.7001585066,1
237,2.9888796133,-1
238,4.7843500376,-1
239,4.9239583275,1
240,3.2065664465,-1
241,3.1478239242,-1
242,4.2423864976,-1
